Mass,Altitude,Pressure,Density,Temperature,Cas,Tas,Vy,VS,Drag,Thrust,T-D,Pitch,FPA,AOA,Q,AccelerationX,AccelerationY,DistanceX,Dx,Dy,Phase,Cd,Cd0,Gear,Flaps,Cl,Lift,Weight,L-W
75500,309.05802891033886,97669.03003448375,1.189083481771477,286.14267656295743,85.10456732255821,86.35551220793867,14.339611577269048,2822.7581845017808,50954.530436826724,208130.39380484069,-33939.92119923132,15.0,9.42942949051774,5.570570509482261,8868.999138193662,-0.4899926277047884,-0.32450268361144774,1883.2472877227037,1.4393265913306037,0.2390385961049857,T/O C,0.08021200684200613,7559.117044,False,2,1.0478242142609546,696983.7752487903,738414.6884999999,-16270.042884557159
75500,309.2969773646168,97666.2421419515,1.1890559967928886,286.14112281208276,85.09555043261412,86.34734627795358,14.334202936085457,2821.693491355405,50952.89837154523,208132.2192745017,-33936.46366428881,15.0,9.426812871825089,5.5731871281749115,8867.116950513942,-0.4899557991054328,-0.3245184710154362,1884.686478210086,1.4391904873824355,0.23894845427795422,T/O C,0.08022601577897942,7559.117044,False,2,1.0480426375417689,696981.6148086855,738414.6884999999,-16272.20332466194
75500,309.53583567270346,97663.45536514219,1.1890285226647146,286.13956964713,85.08653469379648,86.33918096165684,14.328794034317115,2820.628746912818,50951.270452663935,208134.04483907679,-33933.01018083244,15.0,9.424195483596934,5.575804516403066,8865.235205907093,-0.48991897780445826,-0.3245341061005739,1886.1255326037494,1.4390543936634201,0.2388583080866881,T/O C,0.08024003432161922,7559.117044,False,2,1.0482611252026053,696979.467359925,738414.6884999999,-16274.350773422397
75500,309.7746038302768,97660.66970403254,1.1890010593868992,286.1380170681274,85.0775201058736,86.33101625892324,14.323384874485976,2819.5639516704678,50949.64667571151,208135.8704986592,-33929.560744297574,15.0,9.421577327306268,5.578422672693732,8863.35390424633,-0.48988216401600176,-0.3245495898683306,1887.5644509139208,1.4389183101715004,0.2387681575733591,T/O C,0.0802540624668191,7559.117044,False,2,1.048479677119656,696977.3328230076,738414.6884999999,-16276.485310339835
75500,310.0132818330567,97657.8851585991,1.188973606959386,286.13646507510316,85.06850666861213,86.32285216962403,14.317975459097402,2818.4991061215355,50948.02703623791,208137.69625334285,-33926.115350140346,15.0,9.418958404416388,5.581041595583612,8861.47304540417,-0.4898453579529082,-0.32456492331443215,1889.0032331508255,1.4387822369045606,0.23867800277986148,T/O C,0.08026810021151375,7559.117044,False,2,1.0486982931699265,696975.2111188864,738414.6884999999,-16278.607014461071
75500,310.2518696768045,97655.10172881787,1.1889461653821112,286.1349136680851,85.05949438177629,86.31468869362692,14.312565790640253,2817.434210755955,50946.41152981423,208139.5221032229,-33922.67399383662,15.0,9.41633871638097,5.58366128361903,8859.592629252365,-0.48980855982673277,-0.3245801074289175,1890.441879324686,1.4386461738604246,0.2385878437478138,T/O C,0.08028214755267904,7559.117044,False,2,1.0489169732312316,696973.1021689643,738414.6884999999,-16280.715964383096
75500,310.49036735732307,97652.31941466413,1.1889187346550056,286.1333628471007,85.05048324512339,86.30652583079612,14.307155871586984,2816.3692660604297,50944.80015203247,208141.34804839548,-33919.23667088227,15.0,9.413718264644094,5.5862817353559056,8857.712655661951,-0.4897717698477566,-0.3245951431961838,1891.8803894457228,1.4385101210368587,0.2384976805185603,T/O C,0.08029620448733157,7559.117044,False,2,1.049135717182189,696971.0058950909,738414.6884999999,-16282.812238256563
75500,310.7287748704562,97649.53821611314,1.1888913147779991,286.1318126121774,85.04147325840978,86.29836358099237,14.301745704393735,2815.3042725184514,50943.19289850577,208143.1740889578,-33915.80337679325,15.0,9.411097050640322,5.588902949359678,8855.833124503268,-0.4897349882249805,-0.32461003159495977,1893.3187635241543,1.4383740784315706,0.23840751313317265,T/O C,0.08031027101252872,7559.117044,False,2,1.0493545249022183,696968.9222195637,738414.6884999999,-16284.895913783694
75500,310.9670922120887,97646.75813313943,1.1888639057510142,286.13026296334203,85.03246442138943,86.29020194407293,14.296335291500428,2814.23923061032,50941.58976486796,208145.0002250076,-33912.37410710566,15.0,9.408475075794728,5.591524924205272,8853.954035645924,-0.48969821516615286,-0.32462477359840747,1894.7570015701965,1.4382380460422108,0.23831734163245136,T/O C,0.08032434712536823,7559.117044,False,2,1.049573396271533,696966.8510651212,738414.6884999999,-16286.967068226193
75500,311.2053193781456,97643.97916571701,1.1888365075739684,286.1287139006214,85.02345673381014,86.28204091989164,14.29092463533086,2813.174140813161,50939.9907467736,208146.82645664434,-33908.94885737455,15.0,9.405852341522971,5.594147658477029,8852.07538895881,-0.4896614508777525,-0.3246393701741107,1896.1951035940629,1.4381020238663713,0.2382271660569274,T/O C,0.08033843282298825,7559.117044,False,2,1.0497923311711403,696964.7923549428,738414.6884999999,-16289.02577840467
75500,311.44345636459246,97641.20131381968,1.1888091202467768,286.127165424042,85.01445019541566,86.27388050829889,14.285513738292792,2812.109003600943,50938.39583989788,208148.6527839678,-33905.52762317538,15.0,9.403228849231333,5.596771150768667,8850.197184310136,-0.48962469556502064,-0.3246538222841304,1897.6330696059645,1.4379660119015878,0.23813698644686376,T/O C,0.08035252810256693,7559.117044,False,2,1.050011329482832,696962.7460126448,738414.6884999999,-16291.072120702593
75500,311.6815031674347,97638.42457742072,1.1887817437693498,286.12561753363013,85.00544480594898,86.26572070914169,14.280102602778042,2811.0438194444964,50936.80503993651,208150.47920707887,-33902.110400102916,15.0,9.400604600316775,5.599395399683225,8848.319421567403,-0.4895879494319509,-0.3246681308850162,1899.0708996161097,1.437830010145338,0.23804680284225696,T/O C,0.08036663296132238,7559.117044,False,2,1.0502303910891837,696960.71196228,738414.6884999999,-16293.106171067455
75500,311.9194597827175,97635.64895649285,1.1887543781415917,286.12407022941164,84.9964405651483,86.25756152226367,14.274691231162578,2809.9785888115307,50935.218342605556,208152.30572607974,-33898.69718377112,15.0,9.397979596166984,5.602020403833016,8846.442100597413,-0.4895512126813042,-0.3246822969278651,1900.5085936347048,1.4376940185950446,0.23795661528283849,T/O C,0.08038074739651235,7559.117044,False,2,1.0504495158735492,696958.690128332,738414.6884999999,-16295.128005015431
75500,312.1573262065256,97632.87445100851,1.1887270233634042,286.12252351141234,84.98743747274713,86.24940294750509,14.269279625806606,2808.9133121666546,50933.635743641455,208154.13234107295,-33895.2879698138,15.0,9.395353838160432,5.604646161839568,8844.565221266288,-0.48951448551461585,-0.3246963213583212,1901.9461516719527,1.437558037248073,0.23786642380807652,T/O C,0.08039487140543428,7559.117044,False,2,1.0506687037200568,696956.6804357163,738414.6884999999,-16297.137697631144
