AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
1.983944,64070.26953,9.793585,1.882808,150.807968,270.49353,1.055127,623100.875,37093.51563,62206.75391,1.08465E+21,0.33795,0.020118
1.982177,64070.23828,9.793585,1.881028,150.841827,270.556091,1.055127,623089.4375,37100.16797,62205.60938,-7.53775E+36,0.337792,0.020113
1.980701,64070.17969,9.793585,1.879559,150.869705,270.607361,1.055127,623217.4375,37112.59766,62205.3125,0,0.337737,0.020112
1.979152,64070.14453,9.793585,1.878,150.899338,270.661865,1.055128,623093.9375,37115.58984,62204.36719,93.142578,0.337537,0.020106
1.977601,64070.10547,9.793585,1.876446,150.928879,270.716309,1.055128,623150.5625,37123.71484,62203.42578,0,0.337436,0.020102
1.975805,64070.06641,9.793585,1.874653,150.962814,270.778992,1.055128,623199.4375,37132.00391,62202.35156,0,0.33731,0.020098
1.974149,64070.01953,9.793585,1.872997,150.994049,270.836517,1.055128,623184.8125,37139.66406,62201.50781,96.255859,0.337163,0.020094
1.972574,64069.97266,9.793585,1.871412,151.024078,270.891815,1.055129,623110.5,37145.07422,62200.85547,0,0.336989,0.020089
1.970963,64069.92969,9.793585,1.869799,151.054672,270.94812,1.055129,623169.5,37154.24609,62199.97266,0,0.336884,0.020085
1.969241,64069.89063,9.793585,1.868077,151.087219,271.008179,1.055129,623192.0625,37161.58203,62198.88672,-5.54759E+25,0.336751,0.020081
1.967765,64069.83984,9.793585,1.866592,151.115448,271.060028,1.055129,623117.5625,37167.95703,62198.56641,0,0.336585,0.020077
1.966196,64069.80078,9.793585,1.86502,151.145279,271.11499,1.05513,623184.8125,37176.34766,62197.48047,0,0.336488,0.020073
1.96464,64069.76172,9.793585,1.863466,151.174728,271.169159,1.05513,623212,37184.19922,62196.64453,0,0.336372,0.02007
1.963063,64069.72266,9.793585,1.861877,151.204971,271.224884,1.05513,623114.375,37188.23438,62195.90234,0,0.336184,0.020064
1.961518,64069.67578,9.793585,1.860332,151.234406,271.279053,1.05513,623204.375,37198.11719,62195.08203,0,0.336102,0.020061
1.959977,64069.63672,9.793585,1.858791,151.263779,271.333191,1.055131,623201.3125,37204.77344,62194.33594,0,0.33597,0.020057
1.958444,64069.59766,9.793585,1.857248,151.293289,271.387512,1.055131,623140.875,37210.46094,62193.51172,0,0.335806,0.020052
1.956896,64069.55469,9.793585,1.855705,151.322708,271.441711,1.055131,623253.375,37220.46875,62192.64063,1.08465E+21,0.335736,0.02005
1.95539,64069.51172,9.793585,1.854194,151.351486,271.494659,1.055131,623181.4375,37225.78516,62191.94141,0,0.335569,0.020045
1.953725,64069.47656,9.793585,1.852525,151.383392,271.553528,1.055132,623191.1875,37231.89063,62190.96875,59.241211,0.335433,0.02004
1.952187,64069.42969,9.793585,1.850982,151.412949,271.60791,1.055132,623187.4375,37240.42578,62190.22656,188.941406,0.3353,0.020037
1.950621,64069.38672,9.793585,1.849421,151.442719,271.662811,1.055132,623264.3125,37249.13672,62189.41016,0,0.33521,0.020034
1.949003,64069.34766,9.793585,1.847794,151.473816,271.720123,1.055132,623173.3125,37253.89844,62188.55469,10320.75,0.335023,0.020028
1.947478,64069.30078,9.793585,1.846274,151.502792,271.773438,1.055133,623267.9375,37263.99609,62187.87109,0.999496,0.334946,0.020026
1.945865,64069.26563,9.793585,1.84466,151.533554,271.830078,1.055133,623225.25,37269.59766,62186.96484,0,0.334787,0.020021
1.944359,64069.21875,9.793585,1.843145,151.5625,271.883423,1.055133,623167.0625,37275.56641,62186.27344,0,0.334627,0.020016
1.942887,64069.17578,9.793585,1.841675,151.590561,271.935028,1.055133,623270.9375,37285.48438,62185.625,0,0.334559,0.020014
1.941381,64069.14063,9.793585,1.840167,151.619293,271.987946,1.055133,623220.5,37291,62184.77344,0.000001,0.334405,0.020009
1.939767,64069.10547,9.793585,1.838548,151.650238,272.045013,1.055134,623217,37296.70313,62183.71875,0,0.334267,0.020004
1.938216,64069.05859,9.793585,1.836992,151.679993,272.099823,1.055134,623215.9375,37305.26953,62183.10547,0,0.334135,0.020001
1.936674,64069.01563,9.793585,1.835459,151.709137,272.153473,1.055134,623317.3125,37314.52344,62182.375,0,0.334061,0.019998
1.935184,64068.97266,9.793585,1.833956,151.737778,272.206207,1.055134,623160.125,37317.83594,62181.64844,0,0.333851,0.019993
1.933673,64068.93359,9.793585,1.832444,151.766632,272.259338,1.055135,623261.5,37326.76953,62180.92188,0,0.333778,0.01999
1.932169,64068.89453,9.793585,1.83094,151.795242,272.311951,1.055135,623253.5,37334.28906,62180.11719,63159.85938,0.333648,0.019986
1.93069,64068.85547,9.793585,1.829459,151.823364,272.363708,1.055135,623252.125,37340.55078,62179.49219,0,0.333523,0.019982
1.929198,64068.81641,9.793585,1.827961,151.851898,272.41626,1.055135,623212.25,37346.25,62178.71484,0,0.333377,0.019978
1.927633,64068.77734,9.793585,1.826394,151.881622,272.471069,1.055136,623262.9375,37354.55469,62177.70703,7.24432E+22,0.333273,0.019974
1.926103,64068.73438,9.793585,1.824861,151.910751,272.524628,1.055136,623244.875,37360.94922,62177.19141,0,0.333136,0.01997
1.924597,64068.69141,9.793585,1.823342,151.939728,272.578003,1.055136,623178.6875,37366.16406,62176.35547,0,0.332973,0.019965
1.923099,64068.65234,9.793585,1.821837,151.968521,272.631042,1.055136,623228.25,37374.86719,62175.59375,0,0.332873,0.019962
1.921603,64068.61328,9.793585,1.820336,151.997223,272.683868,1.055137,623244.625,37382.28125,62174.85156,0,0.332756,0.019959
1.919927,64068.57813,9.793585,1.818649,152.029587,272.743652,1.055137,623212,37387.61719,62174.02344,0,0.332597,0.019953
1.918232,64068.53125,9.793585,1.816947,152.062302,272.804016,1.055137,623238.625,37396.52344,62172.75781,0,0.332468,0.019949
1.91657,64068.48438,9.793585,1.815282,152.094238,272.862946,1.055137,623266.375,37405.29297,62172.22656,0,0.332343,0.019946
1.914922,64066.53516,9.793585,1.81362,152.126251,272.922028,1.055138,623189.875,37411.07031,62171.35938,0,0.332163,0.01994
1.91334,64068.39453,9.793585,1.812035,152.156754,272.978302,1.055138,623281.625,37421.66797,62170.78516,0,0.332078,0.019938
1.911767,64068.35156,9.793585,1.810448,152.187485,273.034882,1.055138,623200,37427.00391,62169.88672,52.807617,0.331901,0.019933
1.910247,64068.30859,9.793585,1.808921,152.217087,273.089447,1.055138,623257.8125,37436.00781,62169.32031,0,0.331802,0.01993
1.908697,64068.26563,9.793585,1.807365,152.247299,273.145081,1.055139,623257.125,37443.63672,62168.375,0,0.33167,0.019926
1.907134,64068.22266,9.793585,1.805801,152.277557,273.200836,1.055139,623306.125,37451.94531,62167.55469,0.000001,0.331564,0.019922
1.905668,64068.17969,9.793585,1.80432,152.30632,273.253845,1.055139,623208.75,37457.0625,62167.05859,0,0.331387,0.019918
1.904124,64068.14063,9.793585,1.802776,152.336273,273.309021,1.055139,623312.625,37466.72266,62166.08203,62213.55469,0.331312,0.019915
1.902662,64068.09766,9.793585,1.801311,152.364655,273.361328,1.05514,623301.6875,37473.59766,62165.51953,13.338135,0.331183,0.019911
1.90122,64068.05859,9.793585,1.799854,152.393066,273.413544,1.05514,623201.125,37478.4375,62164.82813,0,0.331006,0.019906
1.899733,64068.01953,9.793585,1.79837,152.421875,273.466614,1.05514,623357.5,37488.9375,62164,0,0.330964,0.019904
1.898065,64067.98438,9.793585,1.796698,152.454193,273.526245,1.05514,623292.5625,37494.49219,62163.16406,0,0.330789,0.019899
