ALTITUDE,Mach,Thrust
10000,70000,0.613,74307
10000,70000,0.614,74341
10000,70000,0.615,74377
10000,70000,0.616,74402
10000,70000,0.617,74438
10000,70000,0.618,74475
10000,70000,0.619,74520
10000,70000,0.62,74558
10000,70000,0.621,74596
10000,70000,0.622,74622
10000,70000,0.623,74655
10000,70000,0.624,74687
10000,70000,0.625,74738
10000,70000,0.626,74774
10000,70000,0.627,74810
10000,70000,0.628,74845
10000,70000,0.629,74899
10000,70000,0.63,74936
10000,70000,0.631,74974
10000,70000,0.632,75030
10000,70000,0.633,75067
10000,70000,0.634,75102
10000,70000,0.635,75156
10000,70000,0.636,75180
10000,70000,0.637,75229
10000,70000,0.638,75261
10000,70000,0.639,75300
10000,70000,0.64,75330
10000,70000,0.641,75362
10000,70000,0.642,75395
10000,70000,0.643,75429
10000,70000,0.644,75462
10000,70000,0.645,75502
10000,70000,0.646,75533
10000,70000,0.647,75561
10000,70000,0.648,75603
10000,70000,0.649,75637
10000,70000,0.65,75671
10000,70000,0.651,75713
10000,70000,0.652,75747
10000,70000,0.653,75797
10000,70000,0.654,75829
10000,70000,0.655,75867
10000,70000,0.656,75907
10000,70000,0.657,75962
10000,70000,0.658,76000
10000,70000,0.659,76041
